flight_id,source,destination,takeoff,landing
N612AX-1612213524-3-0-60,AMA,ABQ,,
N131CG-1628989386-adhoc-0,RDD,,,
N292EA-1579180849-16-0-161,WWK,CNS,,
N292EA-1579064147-2-0-161,SNP,PKC,,
N292EA-1583752546-0-1-161,BET,ANC,,
N292EA-1583719377-1-1-161,POM,GUM,,
TANKR102-1659577429-adhoc-0,MWH,,,
N295EA-1621990883-3-0-154,FHU,SBD,2021-05-26 01:16:38,2021-05-26 02:11:41
N295EA-1625252105-2-0-154,FAT,RDM,2021-07-02 19:05:54,2021-07-02 20:20:42
N295EA-1634437139-adhoc-0,WJF,,,
N295EA-1634355789-adhoc-0,WJF,,,
N295EA-1635866242-adhoc-0,WJF,,,
N295EA-1635550774-adhoc-0,WJF,,,
N295EA-1635350138-adhoc-0,WJF,,,
N295EA-1635952729-adhoc-0,WJF,,,
N295EA-1652401257-adhoc-0,ABQ,,,
N295EA-1652992074-adhoc-0,ABI,,,
TNK104-1665529971-1-0-154,WJF,,,
N635AC-1602372766-3-4-240,CDC,TWF,2020-10-10 23:51:24,2020-10-11 00:47:50
N839AC-1600043010-0-0-186,PMD,,,
N839AC-1610462615-1-0-186,GEG,GEG,,
N475NA-1586971906-1-6-149,MSO,MSO,,
N475NA-1612903331-1-0-149,MSO,MSO,,
N474NA-1600270299-1-0-68,BOI,TWF,,
N474NA-1636156876-adhoc-0,PRB,,,
TNKR02-1649601814-adhoc-0,ABI,,,
TNK168-1649330088-2-0-241,PGD,CHA,,
TNK168-1649240989-15-1-241,PGD,CHA,,
N374AC-1592403165-7-1-142,GEG,AZA,2020-06-17 16:18:31,2020-06-17 18:35:09
BMBR911-1581540357-fds-0000,XRH,,,
N603AX-1656287120-3-0-162,MCC,AZA,,
N137CG-1585172951-5-0-119,SBD,YCD,,
TNKR137-1589822595-adhoc-0,MCC,,,
CUL137-1591021858-9-4-119,MCC,,2020-06-01 16:07:11,2020-06-01 16:52:32
CUL137-1591730804-0-2-119,,TUS,2020-06-09 19:46:02,2020-06-09 21:58:49
CUL137-1592163489-1-0-119,SMX,,2020-06-14 19:56:48,2020-06-14 21:35:43
TNKR137-1592592062-adhoc-0,SMX,,,
TNKR137-1593451986-adhoc-0,SMX,,,
CUL137-1593451174-15-0-119,SMX,SGU,2020-06-29 17:34:09,2020-06-29 18:55:02
CUL137-1593035977-7-0-119,SMX,RDD,2020-06-24 22:08:48,2020-06-24 23:21:07
N137CG-1594260831-11-0-119,,SMX,,
N137CG-1594265423-3-0-119,,SMX,,
TNKR137-1594261418-adhoc-0,,,,
CUL137-1594253611-2-1-119,,,2020-07-09 00:20:46,2020-07-09 00:55:52
CUL137-1594253568-adhoc-0,SMX,,,
TNKR137-1595297952-adhoc-0,CIC,,,
CUL137-1595292127-1-0-119,ACV,RDD,2020-07-21 01:27:53,2020-07-21 01:41:55
CUL137-1595292127-1-0-119,ACV,SMX,2020-07-21 01:27:53,2020-07-21 01:41:55
TNKR137-1595293041-adhoc-0,,,,
CUL137-1595265024-8-0-119,SMX,,,
TNKR137-1595211199-adhoc-0,RDD,,,
TNKR137-1595559919-adhoc-0,,,,
CUL137-1597687577-11-0-119,,,2020-08-17 18:23:36,2020-08-17 19:16:35
CUL137-1597610019-7-0-119,SBD,PRB,2020-08-16 20:44:40,2020-08-16 23:02:24
TNKR137-1597958985-adhoc-0,MCC,,,
CUL137-1597951746-3-0-119,SMX,SMX,2020-08-20 19:41:15,2020-08-20 21:02:33
TNKR137-1597888835-adhoc-0,,,,
TNKR137-1597881636-adhoc-0,,,,
N137CG-1597873966-11-0-119,,FAT,,
N137CG-1597873887-5-0-119,SMX,,2020-08-19 22:03:51,2020-08-19 22:39:08
BMBR137-1608596630-adhoc-0,XRH,,,
TNKR137-1620947319-adhoc-0,YPB,,,
N137CG-1621973057-adhoc-0,,,,
N137CG-1623184384-adhoc-0,CDC,,,
BMBR137-1642395952-adhoc-0,GET,,,
BMBR137-1642393621-adhoc-0,GET,,,
BMBR137-1642393454-adhoc-0,GET,,,
BMBR137-1644141524-adhoc-0,BQB,,,
BMBR137-1644136073-adhoc-0,BQB,,,
BMBR137-1644136016-adhoc-0,BQB,,,
N137CG-1644130752-adhoc-0,BQB,,,
BMBR137-1644130401-adhoc-0,BQB,,,
BMBR137-1644129191-adhoc-0,BQB,,,
BMBR137-1644058436-adhoc-0,BQB,,,
BMBR137-1644055024-adhoc-0,BQB,,,
BMBR137-1644047543-adhoc-0,BQB,,,
BMBR137-1644030160-adhoc-0,BQB,,,
BMBR137-1644025204-adhoc-0,BQB,,,
TNKR137-1652028407-adhoc-0,SMX,,,
TNKR137-1652919238-adhoc-0,ABI,,,
TNKR137-1657583623-adhoc-0,FAT,CHA,2022-07-11 23:54:34,2022-07-12 00:19:36
N137CG-1657580463-22-0-119,FAT,CHA,2022-07-11 23:13:50,2022-07-11 23:36:18
N137CG-1657586364-9-1-119,FAT,CHA,2022-07-12 00:40:50,2022-07-12 01:02:42
N325AC-1600701313-adhoc-0,YXX,,,
TNKR169-1665950161-adhoc-0,SBD,MWH,2022-10-17 00:04:02,2022-10-17 01:49:29
TNK162-1593911473-3-5-15,DRO,BJC,,
TNK162-1603474264-0-4-15,COS,COS,2020-10-23 19:15:29,2020-10-23 21:00:38
TNK162-1603474264-0-4-15,COS,AXX,2020-10-23 19:15:29,2020-10-23 21:00:38
TNKR162-1603390617-adhoc-0,BJC,,,
N297EA-1591634839-1-0-66,MZJ,,2020-06-08 22:46:20,2020-06-09 01:38:31
N297EA-1591452570-23-4-66,MZJ,MZJ,,
N297EA-1632003956-adhoc-0,HLN,,,
TNKR107-1633479741-adhoc-0,SBD,,,
N297EA-1635474750-adhoc-0,MCC,,,
TNKR107-1641673503-adhoc-0,ABI,RDM,2022-01-08 21:49:15,2022-01-09 01:10:46
N291EA-1588384451-5-0-80,MAF,ALM,,
N291EA-1634242850-adhoc-0,MCC,,,
N291EA-1652457885-adhoc-0,ABQ,,,
N522AX-1579348822-1-0-228,HNL,PPG,,
N522AX-1579164846-1-5-228,HNL,PPG,,
BMBR912-1579943709-fds-0013,CBR,,,
N522AX-1584553533-1-0-228,HNL,ABQ,,
N522AX-1595444043-1-1-228,AZA,LMT,2020-07-22 20:00:17,2020-07-22 21:57:42
N522AX-1619634066-1-0-228,ABQ,AZA,,
N477NA-1599599903-1-6-61,SBD,,2020-09-08 21:54:58,2020-09-08 23:33:29
N477NA-1635522811-adhoc-0,SMX,,,
N17085-1625696108-adhoc-0,MCC,,,
N17085-1627441189-1-0-101,PIH,MFR,,
N471NA-1608048418-4-0-75,SMX,MSO,,
N392AC-1592773521-12-0-188,FAI,ORT,,
N392AC-1628115866-adhoc-0,GTF,,,
N392AC-1659801601-adhoc-0,GTF,,,
N385AC-1591217531-0-2-202,GEG,KTN,,
N385AC-1646623017-adhoc-0,CIC,,,
N385AC-1646431524-adhoc-0,CIC,,,
N385AC-1646344979-adhoc-0,CIC,,,
N385AC-1646867947-adhoc-0,,,,
N385AC-1646856307-adhoc-0,CIC,,,
N385AC-1646852110-adhoc-0,CIC,,,
N417BT-1599928653-1-4-91,HIO,PUW,2020-09-12 18:08:50,2020-09-12 19:41:52
BGR282-1649641281-adhoc-0,AZA,,,
BGR282-1654027650-adhoc-0,AZA,,,
BGR282-1655164953-adhoc-0,AZA,,,
N417BT-1655163731-adhoc-0,AZA,,,
BGR282-1655420730-adhoc-0,AZA,,,
N417BT-1658442547-adhoc-0,,,,
N417BT-1662766259-adhoc-0,EUG,,,
N418BT-1625509105-adhoc-0,,,,
N418BT-1635959476-adhoc-0,BZN,,,
